timestamp_ms,altitude,yaw,pitch,roll,axial_overload,dharma_overload,lateral_overload,longitude,latitude,IAS,intake_pressure,throttle_lever_displacement,engine_speed,rudder_deflection,elevator_deflection,aileron_deflection,vertical_speed,roll_rate,yaw_rate,pitch_rate,engine_temperature,propeller_pitch,AOA,undercarriage,flape,ground_speed,Altitude_AGL
1768293831197,1529.749686,357.428711,7.128050,-6.867785,-0.308610,0.890874,0.004063,125.788239,42.406207,212.572636,759.968002,82.996088,8518.701107,0.000000,0.509091,-0.018182,-4.855701,-9.272466,-41.721504,-406.677687,456.244598,0.000000,8.551810,0.000000,0.500000,212.572664,1192.929199
1768293831287,1529.615950,357.433685,6.524897,-6.878707,-0.299826,0.849950,0.004253,125.788237,42.406253,213.179865,759.968002,82.996088,8518.644572,0.000000,0.509091,-0.018182,-4.454925,-6.927572,-45.550842,-395.040110,456.296539,0.000000,8.025591,0.000000,0.500000,213.179892,1192.780518
1768293831385,1529.443413,357.427856,5.842018,-6.890399,-0.290597,0.805393,0.004395,125.788235,42.406307,213.932744,759.968002,82.996088,8518.606104,0.000000,0.509091,-0.018182,-4.035496,-6.042868,-49.850877,-363.486958,456.357422,0.000000,7.479355,0.000000,0.500000,213.932730,1192.590088
1768293831485,1529.263067,357.407928,5.259139,-6.902840,-0.284206,0.774224,0.004434,125.788233,42.406359,214.671588,759.968002,82.996088,8518.596778,0.000000,0.509091,-0.018182,-3.696047,-6.652906,-53.614096,-319.130890,456.413849,0.000000,7.062879,0.000000,0.500000,214.671588,1192.392822
1768293831596,1529.039198,357.366821,4.710075,-6.920743,-0.279111,0.750628,0.004392,125.788230,42.406418,215.519032,759.968002,82.996088,8518.616012,0.000000,0.509091,-0.018182,-3.382092,-8.642611,-57.394742,-257.823522,456.475128,0.000000,6.729304,0.000000,0.500000,215.519019,1192.150024
1768293831691,1528.828842,357.315491,4.341154,-6.940705,-0.276549,0.741099,0.004305,125.788227,42.406467,216.253180,759.968002,82.996088,8518.656228,0.000000,0.509091,-0.018182,-3.167415,-11.142992,-60.228314,-199.904091,456.525665,0.000000,6.557689,0.000000,0.500000,216.253180,1191.923706
1768293831786,1528.574380,357.241394,4.044384,-6.968869,-0.275280,0.740958,0.004165,125.788225,42.406521,217.074518,759.968002,82.996088,8518.725004,0.000000,0.509091,-0.018182,-2.982634,-14.485156,-62.943096,-133.829374,456.579803,0.000000,6.482913,0.000000,0.500000,217.074532,1191.651611
1768293831884,1528.299926,357.150970,3.861786,-7.003577,-0.275592,0.751344,0.004005,125.788222,42.406575,217.895938,759.968002,82.996088,8518.818842,0.000000,0.509091,-0.018182,-2.849828,-18.109586,-65.211525,-69.801159,456.631805,0.000000,6.514493,0.000000,0.500000,217.895924,1191.359863
1768293831991,1527.971461,357.032593,3.783341,-7.050279,-0.277514,0.772462,0.003821,125.788218,42.406635,218.808243,759.968002,82.996088,8518.948233,0.000000,0.509091,-0.018182,-2.755292,-22.212100,-67.268272,-4.474705,456.687378,0.000000,6.655619,0.000000,0.500000,218.808257,1191.012329
1768293832101,1527.623460,356.898987,3.817921,-7.104969,-0.280845,0.801990,0.003645,125.788215,42.406694,219.710001,759.968002,82.996088,8519.101520,0.000000,0.509091,-0.018182,-2.709218,-26.146984,-68.875511,51.250478,456.740387,0.000000,6.880216,0.000000,0.500000,219.709987,1190.645508
1768293832181,1527.345837,356.788269,3.906659,-7.151907,-0.284191,0.828820,0.003520,125.788212,42.406738,220.391634,759.968002,82.996088,8519.234409,0.000000,0.509091,-0.018182,-2.701253,-28.920452,-69.851129,86.225893,456.779419,0.000000,7.090889,0.000000,0.500000,220.391634,1190.353638
1768293832297,1526.942452,356.623016,4.100725,-7.224628,-0.289641,0.869349,0.003373,125.788209,42.406801,221.334961,759.968002,82.996088,8519.440735,0.000000,0.509091,-0.018182,-2.722434,-32.361672,-70.921215,123.239289,456.832184,0.000000,7.418923,0.000000,0.500000,221.334961,1189.930542
1768293832383,1526.620345,356.488678,4.291559,-7.286076,-0.294204,0.901345,0.003282,125.788205,42.406850,222.056158,759.968002,82.996088,8519.616753,0.000000,0.509091,-0.018182,-2.759934,-34.594170,-71.566012,141.917520,456.871674,0.000000,7.683199,0.000000,0.500000,222.056172,1189.593018
1768293832492,1526.221895,356.321045,4.549135,-7.365725,-0.299864,0.939476,0.003195,125.788201,42.406909,222.918008,759.968002,82.996088,8519.845811,0.000000,0.509091,-0.018182,-2.823386,-36.859553,-72.191391,152.826821,456.917999,0.000000,7.994092,0.000000,0.500000,222.918022,1189.176147
1768293832591,1525.838258,356.159149,4.801670,-7.445889,-0.305140,0.974079,0.003134,125.788198,42.406965,223.723759,759.968002,82.996088,8520.082445,0.000000,0.509091,-0.018182,-2.896031,-38.566772,-72.681354,152.289600,456.960602,0.000000,8.262886,0.000000,0.500000,223.723732,1188.774902
1768293832688,1525.465703,356.002258,5.036768,-7.526750,-0.309631,1.003344,0.003093,125.788194,42.407020,224.490111,759.968002,82.996088,8520.323159,0.000000,0.509091,-0.018182,-2.972464,-39.850810,-73.102258,143.139455,457.000549,0.000000,8.484961,0.000000,0.500000,224.490138,1188.385254
1768293832784,1525.116232,355.855988,5.238179,-7.605170,-0.313136,1.026650,0.003068,125.788190,42.407072,225.199841,759.968002,82.996088,8520.560376,0.000000,0.509091,-0.018182,-3.045733,-40.796372,-73.478444,128.347956,457.037018,0.000000,8.651811,0.000000,0.500000,225.199828,1188.019775
